Date,kW,KWh,wind_speed
01 01 2018 00:00,380.0477905,416.3289078,5.31133604
01 01 2018 00:10,453.7691956,519.9175111,5.672166824
01 01 2018 00:20,306.3765869,390.9000158,5.216036797
01 01 2018 00:30,419.6459045,516.127569,5.659674168
01 01 2018 00:40,380.6506958,491.702972,5.577940941
01 01 2018 00:50,402.3919983,499.436385,5.604052067
01 01 2018 01:00,447.6057129,557.3723633,5.793007851
01 01 2018 01:10,387.2421875,414.8981788,5.306049824
01 01 2018 01:20,463.6512146,493.6776521,5.584629059
01 01 2018 01:30,439.725708,475.7067828,5.523228168
01 01 2018 01:40,498.1817017,535.841397,5.724115849
01 01 2018 01:50,526.8162231,603.0140765,5.934198856
01 01 2018 02:00,710.5872803,824.6625136,6.547413826
01 01 2018 02:10,655.1942749,693.4726411,6.199746132
01 01 2018 02:20,754.7625122,808.0981385,6.505383015
01 01 2018 02:30,790.1732788,859.4590208,6.634116173
01 01 2018 02:40,742.9852905,759.4345366,6.378912926
01 01 2018 02:50,748.2296143,785.2810099,6.446652889
01 01 2018 03:00,736.6478271,773.1728635,6.415082932
01 01 2018 03:10,787.2462158,781.7712157,6.437530994
01 01 2018 03:20,722.8640747,700.7646999,6.220024109
01 01 2018 03:30,935.0333862,970.7366269,6.89802599
01 01 2018 03:40,1220.609009,1315.048928,7.60971117
01 01 2018 03:50,1053.771973,1151.265744,7.288355827
01 01 2018 04:00,1493.807983,1497.583724,7.943101883
01 01 2018 04:10,1724.488037,1752.199662,8.376161575
01 01 2018 04:20,1636.935059,1668.470707,8.23695755
01 01 2018 04:30,1385.488037,1461.815791,7.879590988
01 01 2018 04:40,1098.932007,1062.285034,7.101376057
01 01 2018 04:50,1021.458008,995.9958546,6.955307007
01 01 2018 05:00,1164.892944,1060.859712,7.098298073
01 01 2018 05:10,1073.332031,995.2509608,6.953630924
01 01 2018 05:20,1165.307983,1132.416861,7.249577999
01 01 2018 05:30,1177.98999,1154.365305,7.294691086
01 01 2018 05:40,1170.536011,1194.843099,7.376369953
01 01 2018 05:50,1145.536011,1231.430706,7.448554039
01 01 2018 06:00,1114.026978,1127.433206,7.23925209
01 01 2018 06:10,1153.185059,1171.355044,7.329211235
01 01 2018 06:20,1125.331055,1080.139085,7.139705181
01 01 2018 06:30,1228.732056,1244.633534,7.474228859
01 01 2018 06:40,1021.79303,1030.992686,7.033174038
01 01 2018 06:50,957.3781738,965.6833344,6.886455059
01 01 2018 07:00,909.8878174,966.2791049,6.887821198
01 01 2018 07:10,1000.953979,1116.471899,7.216432095
01 01 2018 07:20,1024.478027,1047.170231,7.068597794
01 01 2018 07:30,1009.533997,988.4519407,6.938295841
01 01 2018 07:40,899.492981,820.4166586,6.536687851
01 01 2018 07:50,725.1101074,686.6369422,6.180624962
01 01 2018 08:00,585.2593994,564.9276595,5.816825867
01 01 2018 08:10,443.9139099,454.7735871,5.450150967
01 01 2018 08:20,565.2537842,565.3490932,5.81814909
01 01 2018 08:30,644.0377808,668.8235693,6.130272865
01 01 2018 08:40,712.0588989,747.4606734,6.347077847
01 01 2018 08:50,737.3947754,747.5951091,6.347436905
01 01 2018 09:00,725.868103,691.5463343,6.194368839
01 01 2018 09:10,408.997406,330.4176304,4.977198124
01 01 2018 09:20,628.4368286,611.2838365,5.959111214
01 01 2018 09:30,716.1005859,697.6494744,6.21137619
01 01 2018 09:40,711.4956055,662.235163,6.111453056
01 01 2018 09:50,838.1519165,789.0114224,6.456322193
01 01 2018 10:00,881.0620728,872.7396259,6.666657925
01 01 2018 10:10,663.703125,680.3278917,6.16287899
01 01 2018 10:20,578.2615967,628.4425608,6.013167858
01 01 2018 10:30,465.6200867,486.7795676,5.561203003
01 01 2018 10:40,311.0509033,326.4110254,4.960731983
01 01 2018 10:50,230.0554962,244.3162442,4.60387516
01 01 2018 11:00,233.9906006,233.6327805,4.554533958
01 01 2018 11:10,175.5921936,173.5736631,4.26362896
01 01 2018 11:20,118.1331024,108.5712211,3.894139051
01 01 2018 11:30,142.2024994,130.2299896,4.038761139
01 01 2018 11:40,212.5661926,223.1967841,4.505650997
01 01 2018 11:50,222.6100006,231.2425073,4.543397903
01 01 2018 12:00,194.1811981,185.5984796,4.323760986
01 01 2018 12:10,82.64074707,68.5028198,3.634437084
01 01 2018 12:20,75.8952179,78.39616535,3.705512047
01 01 2018 12:30,41.94723892,29.28695563,3.253968
01 01 2018 12:40,118.5345993,88.87136533,3.775136948
01 01 2018 12:50,250.7559052,264.1192574,4.693500996
01 01 2018 13:00,346.8644104,336.7219982,5.002939224
01 01 2018 13:10,416.4179077,430.921089,5.364749908
01 01 2018 13:20,331.9414978,339.9849402,5.016181946
01 01 2018 13:30,583.4799194,615.0556308,5.970407963
01 01 2018 13:40,776.5526733,868.1808449,6.655520916
01 01 2018 13:50,752.7263794,846.0294095,6.600903988
01 01 2018 14:00,589.0731201,618.7314427,5.981378078
01 01 2018 14:10,1109.128052,1219.199787,7.424593925
01 01 2018 14:20,1482.459961,1638.508909,8.186451912
01 01 2018 14:30,1523.430054,1691.147039,8.27493
01 01 2018 14:40,1572.170044,1796.76309,8.449202538
01 01 2018 14:50,1698.939941,1875.047197,8.575974464
