Date,wind speed,wind direction
01 01 2018 00:00,5.31133604,259.9949036
01 01 2018 00:10,5.672166824,268.6411133
01 01 2018 00:20,5.216036797,272.5647888
01 01 2018 00:30,5.659674168,271.2580872
01 01 2018 00:40,5.577940941,265.6742859
01 01 2018 00:50,5.604052067,264.5786133
01 01 2018 01:00,5.793007851,266.1636047
01 01 2018 01:10,5.306049824,257.9494934
01 01 2018 01:20,5.584629059,253.4806976
01 01 2018 01:30,5.523228168,258.7237854
01 01 2018 01:40,5.724115849,251.8509979
01 01 2018 01:50,5.934198856,265.5046997
01 01 2018 02:00,6.547413826,274.2329102
01 01 2018 02:10,6.199746132,266.7331848
01 01 2018 02:20,6.505383015,266.7604065
01 01 2018 02:30,6.634116173,270.4931946
01 01 2018 02:40,6.378912926,266.5932922
01 01 2018 02:50,6.446652889,265.5718079
01 01 2018 03:00,6.415082932,261.1586914
01 01 2018 03:10,6.437530994,257.5602112
01 01 2018 03:20,6.220024109,255.9264984
01 01 2018 03:30,6.89802599,250.0128937
01 01 2018 03:40,7.60971117,255.9857025
01 01 2018 03:50,7.288355827,255.4445953
01 01 2018 04:00,7.943101883,256.4074097
01 01 2018 04:10,8.376161575,252.4125977
01 01 2018 04:20,8.23695755,247.9794006
01 01 2018 04:30,7.879590988,238.6096039
01 01 2018 04:40,7.101376057,245.0955963
01 01 2018 04:50,6.955307007,245.410202
01 01 2018 05:00,7.098298073,235.2279053
01 01 2018 05:10,6.953630924,242.8726959
01 01 2018 05:20,7.249577999,244.8356934
01 01 2018 05:30,7.294691086,242.4815979
01 01 2018 05:40,7.376369953,247.9772034
01 01 2018 05:50,7.448554039,249.6829987
01 01 2018 06:00,7.23925209,248.401001
01 01 2018 06:10,7.329211235,244.6217041
01 01 2018 06:20,7.139705181,244.6318054
01 01 2018 06:30,7.474228859,245.7859955
01 01 2018 06:40,7.033174038,248.6522064
01 01 2018 06:50,6.886455059,244.6116943
01 01 2018 07:00,6.887821198,235.8482971
